reef,longitude,latitude,month,year,month_year,month_year2,coral_type,lightest_letter,lightest_number,darkest_letter,darkest_number
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Plate,C,4,C,1
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,4,C,4
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,D,3,D,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,5,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,E,5,E,5
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,5,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,E,5,E,4
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Plate,D,5,D,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,4,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Plate,C,4,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,D,4,D,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,C,5,D,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,5,C,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,C,5,C,4
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,4,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,5,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,5,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,D,4,D,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,5,C,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,4,C,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,C,4,C,4
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,B,4,D,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,4,C,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,B,5,B,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Plate,C,4,C,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,4,C,2
